transaction_id,customer_id,time_id,transaction_amount,channel,payment_type
100,250,101,2360.2,In-store,Bank Transfer
101,352,50,4828.35,Mobile app,PayPal
102,352,35,2075.6,Online,Credit Card
103,230,277,3718.6,Mobile app,Bank Transfer
104,233,105,3782.25,Online,Cash
105,473,73,107.22,Mobile app,PayPal
106,369,7,17.07,In-store,Credit Card
107,463,340,2874.65,In-store,Bank Transfer
108,317,246,3625.03,Online,Bank Transfer
109,253,148,518.06,Mobile app,Cash
110,249,121,3710.71,In-store,Bank Transfer
111,72,32,4612.46,Online,Cash
112,340,292,643.46,Mobile app,Credit Card
113,25,70,2158.69,In-store,PayPal
114,45,20,386.48,In-store,Credit Card
115,433,323,1439.93,In-store,Bank Transfer
116,388,75,3429.05,Online,Bank Transfer
117,129,81,6090.24,Mobile app,Credit Card
118,358,179,1683.79,In-store,Credit Card
119,305,207,5952.06,Mobile app,Bank Transfer
120,416,162,1702.79,Mobile app,Cash
121,360,292,2969.96,Mobile app,Cash
122,477,337,2636.82,Mobile app,Bank Transfer
123,496,205,2620.23,In-store,Bank Transfer
124,170,43,823.82,Online,PayPal
125,94,188,3171.23,Mobile app,Bank Transfer
126,452,122,3526.22,Mobile app,Bank Transfer
127,273,327,1775.95,In-store,PayPal
128,174,14,2535.41,Online,Credit Card
129,374,2,2022.16,Mobile app,Bank Transfer
130,143,124,2296.13,Mobile app,PayPal
131,232,258,1403.43,In-store,PayPal
132,45,231,3608.77,In-store,Cash
133,225,220,6949.73,Mobile app,Bank Transfer
134,424,76,735.68,In-store,Bank Transfer
135,415,289,773.0,Mobile app,Bank Transfer
136,459,314,363.1,Online,Cash
137,405,197,5225.32,In-store,Credit Card
138,253,271,868.52,Mobile app,Bank Transfer
139,274,219,1722.19,Mobile app,PayPal
140,243,204,1392.32,In-store,Credit Card
141,98,95,4145.61,Online,Credit Card
142,304,206,311.92,Online,Cash
143,120,1,560.43,Mobile app,Credit Card
144,19,249,2335.56,Online,PayPal
145,463,349,4602.58,Online,PayPal
146,148,4,393.48,Mobile app,PayPal
147,493,13,1504.35,Mobile app,Bank Transfer
148,165,197,2222.72,Mobile app,PayPal
149,278,121,1396.04,Online,Bank Transfer
150,260,75,1884.39,In-store,Credit Card
151,304,347,1935.52,Mobile app,Credit Card
152,2,322,471.67,Online,Bank Transfer
153,60,12,4865.59,In-store,Bank Transfer
154,181,261,2036.13,In-store,Cash
155,459,145,2831.33,Mobile app,Cash
156,99,181,3343.1,In-store,Cash
157,257,32,3928.5,Online,Cash
158,163,221,2590.08,In-store,Cash
159,271,362,1950.49,Mobile app,Cash
160,470,285,1933.74,Mobile app,Cash
161,220,272,4964.89,In-store,Cash
162,418,8,977.47,In-store,Cash
163,446,193,1164.29,Online,Bank Transfer
164,126,271,1751.72,In-store,Cash
165,148,358,3925.41,Online,Credit Card
166,252,332,2473.3,Online,PayPal
167,471,50,1667.75,Online,Cash
168,190,144,1123.05,Online,PayPal
169,198,150,878.06,In-store,PayPal
170,327,142,2706.97,Online,Cash
171,238,290,2930.68,Mobile app,Cash
172,46,72,1334.2,In-store,Cash
173,43,258,2157.4,In-store,Credit Card
174,304,145,683.84,Mobile app,Credit Card
175,93,209,2282.84,Online,Bank Transfer
176,20,134,2750.52,Online,Bank Transfer
177,255,365,70.7,Mobile app,Bank Transfer
178,94,285,3005.43,Mobile app,Cash
179,191,54,2423.37,In-store,Cash
180,362,74,1804.76,In-store,Credit Card
181,111,332,1717.6,Mobile app,Cash
182,138,272,4748.0,Online,PayPal
183,181,96,3350.21,Mobile app,Cash
184,135,224,315.13,Online,Credit Card
185,85,235,306.24,In-store,Cash
186,254,351,2829.3,Mobile app,Bank Transfer
187,102,38,4601.28,In-store,PayPal
188,477,225,2207.46,Online,Bank Transfer
189,311,96,1439.61,Mobile app,Cash
190,391,214,1806.66,Mobile app,PayPal
191,35,343,2770.33,Online,Bank Transfer
192,171,351,2759.04,In-store,Credit Card
193,359,292,3734.62,Online,Credit Card
194,279,235,1896.92,Online,Bank Transfer
195,383,224,2255.59,Online,Credit Card
196,203,47,2312.65,Online,Cash
197,327,345,308.99,Mobile app,PayPal
198,119,95,3988.13,In-store,Cash
199,307,165,3877.32,In-store,Credit Card
200,292,99,2788.09,In-store,Credit Card
201,57,336,5001.68,In-store,PayPal
202,370,91,2582.71,In-store,Bank Transfer
203,395,46,1225.92,Mobile app,PayPal
204,113,358,1985.87,Online,PayPal
205,481,24,641.75,Online,Bank Transfer
206,255,318,2713.03,Online,Cash
207,169,66,5173.96,Online,Bank Transfer
208,46,73,2303.81,Mobile app,PayPal
209,15,39,1748.0,Mobile app,Bank Transfer
210,220,169,386.5,Online,Cash
211,219,75,422.1,Mobile app,Cash
212,436,260,3647.6,In-store,Cash
213,378,205,3108.81,Online,Cash
214,167,172,1432.13,In-store,PayPal
215,81,304,510.05,In-store,PayPal
216,243,216,3234.43,Mobile app,Cash
217,89,124,1666.12,Mobile app,PayPal
218,469,141,4070.07,Online,Credit Card
219,354,237,857.95,In-store,Cash
220,154,52,171.59,Online,Credit Card
221,57,79,2750.14,In-store,Bank Transfer
222,390,303,1244.94,Mobile app,Credit Card
223,360,343,1716.15,In-store,PayPal
224,370,196,1903.87,Mobile app,PayPal
225,90,264,792.56,Mobile app,PayPal
226,424,61,406.28,Online,Credit Card
227,258,134,263.64,Mobile app,Credit Card
228,169,62,3573.56,Mobile app,Credit Card
229,152,128,1964.62,Mobile app,PayPal
230,197,298,5794.32,Mobile app,PayPal
231,250,128,1000.66,Online,Credit Card
232,496,360,4299.23,In-store,Cash
233,303,361,1093.61,In-store,Cash
234,287,182,3171.45,Online,Credit Card
235,301,122,594.42,Mobile app,Cash
236,139,108,209.75,In-store,Credit Card
237,315,44,1994.86,Mobile app,Credit Card
238,467,345,2574.9,In-store,Credit Card
239,325,153,853.23,Online,Credit Card
240,113,315,2663.91,Online,Bank Transfer
241,103,333,2411.83,Online,Credit Card
242,29,146,5624.31,Online,Bank Transfer
243,193,264,4507.02,Online,PayPal
244,284,196,1727.8,In-store,Bank Transfer
245,101,55,3316.4,Mobile app,Cash
246,15,106,2546.89,Online,PayPal
247,365,300,309.61,Mobile app,Bank Transfer
248,463,363,292.5,Online,Bank Transfer
249,160,299,1002.17,In-store,Cash
250,436,127,880.86,Online,Bank Transfer
251,82,346,2325.21,In-store,PayPal
252,401,320,369.18,In-store,Bank Transfer
253,496,363,3776.53,Online,Bank Transfer
254,390,87,736.2,Mobile app,Bank Transfer
255,338,205,3414.75,Mobile app,Cash
256,190,337,1312.64,Mobile app,PayPal
257,81,227,1087.59,In-store,PayPal
258,191,255,1577.79,Online,Cash
259,177,192,2636.52,Mobile app,PayPal
260,487,197,3677.61,In-store,Cash
261,60,99,2394.78,In-store,PayPal
262,263,81,4714.56,Mobile app,PayPal
263,385,7,1962.42,Online,Cash
264,341,45,4966.2,In-store,PayPal
265,225,201,2815.87,Online,Bank Transfer
266,61,21,1952.57,Online,Credit Card
267,467,337,1622.7,In-store,Bank Transfer
268,36,334,2791.99,In-store,PayPal
269,225,139,596.27,Online,PayPal
270,431,302,2904.83,Online,Cash
271,368,321,4567.92,In-store,Credit Card
272,79,66,358.68,In-store,Bank Transfer
273,361,307,2586.5,Online,Cash
274,433,297,209.91,In-store,Credit Card
275,365,314,2550.46,In-store,Credit Card
276,98,212,1060.08,Online,Credit Card
277,267,223,4492.87,In-store,Cash
278,15,273,2710.53,Mobile app,Bank Transfer
279,422,249,454.22,In-store,PayPal
280,181,34,1412.61,In-store,Credit Card
281,137,198,2166.07,In-store,PayPal
282,200,95,1642.8,Mobile app,Bank Transfer
283,477,343,1748.45,Online,Bank Transfer
284,344,17,5028.25,Mobile app,PayPal
285,484,100,1960.39,In-store,Cash
286,127,181,3003.96,In-store,Bank Transfer
287,99,90,1436.2,Mobile app,Bank Transfer
288,230,213,678.0,Mobile app,Bank Transfer
289,480,17,804.45,Online,Credit Card
290,140,142,3895.33,Mobile app,Credit Card
291,356,49,328.16,In-store,Bank Transfer
292,255,341,680.9,Mobile app,Bank Transfer
293,178,331,510.05,In-store,Cash
294,361,177,1416.5,Online,Credit Card
295,482,26,5003.12,Online,Bank Transfer
296,458,41,4333.28,Mobile app,Cash
297,471,96,161.9,Online,Cash
298,228,174,3905.81,In-store,PayPal
299,273,134,863.64,Mobile app,Cash
300,481,306,1446.27,Mobile app,Credit Card
301,204,163,4559.44,Online,Bank Transfer
302,404,303,450.11,Online,Bank Transfer
303,490,284,1876.51,Mobile app,Credit Card
304,343,135,4512.97,In-store,Credit Card
305,409,108,4098.54,In-store,PayPal
306,452,180,6204.09,Online,Bank Transfer
307,77,200,4132.84,Online,PayPal
308,420,147,904.08,In-store,Bank Transfer
309,374,174,1874.86,In-store,Cash
310,462,319,3299.15,Online,Credit Card
311,118,90,3526.55,Mobile app,PayPal
312,26,209,2244.59,Mobile app,Cash
313,364,325,1275.56,In-store,Credit Card
314,357,315,3429.42,Mobile app,Bank Transfer
315,382,329,3873.64,Mobile app,Credit Card
316,385,172,3942.19,In-store,Cash
317,203,280,248.79,Online,Bank Transfer
318,97,310,203.14,In-store,Cash
319,33,251,1455.08,Online,Credit Card
320,298,83,2812.1,Mobile app,Credit Card
321,303,110,4028.48,In-store,Cash
322,90,108,3136.54,Online,Cash
323,430,157,5146.29,Mobile app,Bank Transfer
324,428,163,1822.65,Online,Bank Transfer
325,409,101,3979.14,In-store,PayPal
326,409,71,906.59,In-store,PayPal
327,253,102,2180.64,Mobile app,PayPal
328,276,264,967.81,In-store,Cash
329,412,300,6810.93,In-store,Cash
330,495,317,816.81,Online,Credit Card
331,434,130,151.55,Mobile app,Cash
332,466,322,2522.53,Online,PayPal
333,164,44,4695.61,In-store,PayPal
334,33,249,3406.91,Mobile app,Cash
335,419,250,2346.52,Mobile app,Bank Transfer
336,1,306,1472.48,Mobile app,PayPal
337,331,246,4624.33,In-store,Bank Transfer
338,146,160,491.64,Mobile app,Cash
339,134,50,1734.4,Mobile app,Credit Card
340,388,235,3719.67,In-store,Bank Transfer
341,406,112,5523.25,In-store,Bank Transfer
342,73,295,3654.16,In-store,Credit Card
343,28,227,1611.32,Mobile app,Cash
344,367,114,2496.16,In-store,PayPal
345,18,357,2618.1,Mobile app,PayPal
346,223,131,46.92,Mobile app,Cash
347,103,180,4060.71,Mobile app,PayPal
348,256,64,4789.12,In-store,Bank Transfer
349,155,70,1598.05,Online,PayPal
350,309,247,2319.24,In-store,Cash
351,164,71,343.18,Online,Credit Card
352,217,243,471.67,In-store,Bank Transfer
353,392,9,1082.25,Mobile app,Cash
354,303,342,2265.2,Online,Bank Transfer
355,369,259,5047.56,Mobile app,Cash
356,401,152,4949.65,Mobile app,Cash
357,282,68,1987.64,Mobile app,Credit Card
358,469,21,1048.75,In-store,Credit Card
359,109,148,5235.81,In-store,Cash
360,109,288,1004.88,Online,Cash
361,442,116,1182.46,In-store,Cash
362,111,285,3119.26,Mobile app,Cash
363,361,277,1384.3,In-store,Bank Transfer
364,250,330,1305.64,Mobile app,Credit Card
365,205,256,5338.62,Online,PayPal
366,215,268,1282.4,Online,Bank Transfer
367,110,113,1071.28,In-store,Cash
368,412,358,1935.52,Online,Bank Transfer
369,158,127,1257.48,Online,PayPal
370,107,32,594.57,Mobile app,Cash
371,346,155,2314.6,Online,Bank Transfer
372,165,293,2508.07,Online,Credit Card
373,271,174,69.67,Mobile app,PayPal
374,319,327,699.11,Mobile app,PayPal
375,282,243,2290.1,Mobile app,Credit Card
376,375,31,617.26,Online,PayPal
377,99,289,3659.34,Mobile app,Cash
378,331,285,1163.71,Mobile app,Credit Card
379,381,185,3352.51,Mobile app,Credit Card
380,425,258,3274.48,Online,PayPal
381,332,233,2281.98,In-store,PayPal
382,64,114,756.48,Mobile app,Bank Transfer
383,76,85,1881.79,Online,Bank Transfer
384,48,65,3240.66,Mobile app,Cash
385,97,76,3250.81,Mobile app,Bank Transfer
386,143,125,1240.87,Mobile app,Cash
387,275,291,839.0,In-store,Cash
388,174,41,3402.81,In-store,Cash
389,285,211,955.4,Mobile app,Bank Transfer
390,149,272,4598.98,In-store,PayPal
391,400,177,1349.97,Mobile app,Bank Transfer
392,101,172,1787.81,In-store,Cash
393,98,142,4740.12,Online,Bank Transfer
394,375,208,2839.98,Mobile app,Credit Card
395,313,272,624.52,Mobile app,Cash
396,420,50,694.83,Online,Bank Transfer
397,348,192,2541.96,Mobile app,Cash
398,276,19,5981.84,Mobile app,Credit Card
399,186,268,2352.97,Mobile app,Credit Card
400,149,339,3028.58,In-store,Cash
401,329,260,5023.4,Online,Bank Transfer
402,244,28,235.33,Online,Bank Transfer
403,385,115,2680.08,Online,Bank Transfer
404,33,39,4102.59,In-store,Cash
405,355,177,2734.91,In-store,Credit Card
406,162,34,3575.74,Online,Cash
407,418,330,1848.33,Online,Credit Card
408,457,337,1967.06,Mobile app,PayPal
409,446,286,2983.6,In-store,PayPal
410,414,69,1098.23,Mobile app,Bank Transfer
411,157,218,805.26,Online,Cash
412,82,352,2304.29,Mobile app,Bank Transfer
413,292,127,1152.72,In-store,Cash
414,97,189,3176.63,In-store,Cash
415,374,38,5628.55,In-store,PayPal
416,33,3,2327.48,Online,Bank Transfer
417,107,144,1954.83,In-store,Cash
418,284,27,1604.86,Mobile app,Bank Transfer
419,315,304,1802.14,In-store,PayPal
420,12,242,566.69,Online,PayPal
421,153,346,3680.98,Online,PayPal
422,279,186,6428.2,Mobile app,Credit Card
423,321,264,210.24,Mobile app,Bank Transfer
424,368,263,2693.56,In-store,Credit Card
425,129,267,1778.12,In-store,Credit Card
426,279,308,1554.07,Online,Credit Card
427,469,139,1972.15,Online,Cash
428,85,213,44.2,Mobile app,Cash
429,96,101,1745.94,In-store,PayPal
430,398,196,3049.5,Online,Bank Transfer
431,110,93,4883.76,In-store,PayPal
432,428,258,365.49,Online,PayPal
433,474,116,1498.48,In-store,PayPal
434,487,182,2407.19,In-store,Bank Transfer
435,255,47,1199.25,Mobile app,Credit Card
436,352,208,1524.69,In-store,PayPal
437,165,88,284.41,In-store,PayPal
438,97,34,1387.52,Online,Credit Card
439,204,189,947.94,Online,Credit Card
440,285,127,24.24,Mobile app,PayPal
441,200,272,4462.44,In-store,PayPal
442,401,19,369.18,In-store,Cash
443,16,37,4484.66,In-store,Bank Transfer
444,248,33,984.06,Online,Bank Transfer
445,318,352,1429.62,Online,Cash
446,145,351,548.84,Online,Cash
447,380,209,4349.84,In-store,Cash
448,485,167,2517.35,Mobile app,Cash
449,71,245,112.9,Mobile app,Cash
450,287,49,474.32,In-store,Cash
451,411,150,2309.56,In-store,Cash
452,160,175,1939.76,Mobile app,Credit Card
453,479,104,2729.92,Online,Cash
454,18,195,1378.95,In-store,PayPal
455,275,364,3340.53,In-store,Credit Card
456,93,115,3116.17,In-store,Credit Card
457,174,347,2573.02,In-store,Cash
458,282,336,3623.12,In-store,Bank Transfer
459,189,312,2303.39,Online,Bank Transfer
460,240,183,1004.88,In-store,Cash
461,135,138,1455.05,Online,Cash
462,245,125,1565.8,In-store,Credit Card
463,460,228,580.55,Mobile app,Cash
464,5,129,2484.39,Online,Cash
465,132,232,2689.68,In-store,PayPal
466,362,193,3813.12,In-store,Credit Card
467,128,347,2170.86,Mobile app,Bank Transfer
468,356,36,259.32,Online,Credit Card
469,365,197,945.39,Online,PayPal
470,51,320,1935.52,Mobile app,PayPal
471,59,279,3225.68,In-store,Bank Transfer
472,435,227,1890.77,In-store,PayPal
473,207,217,1620.27,Online,Credit Card
474,465,229,5041.25,Mobile app,PayPal
475,399,203,3913.72,In-store,Bank Transfer
476,341,37,189.12,Mobile app,PayPal
477,14,254,5805.82,In-store,Cash
478,358,315,7341.73,In-store,PayPal
479,28,342,2906.4,Mobile app,Cash
480,430,162,278.68,In-store,PayPal
481,115,155,1170.68,Online,Cash
482,187,214,328.16,In-store,PayPal
483,103,4,2593.88,Online,Credit Card
484,111,304,939.05,Mobile app,Credit Card
485,287,102,1113.58,Mobile app,Bank Transfer
486,187,22,2360.08,In-store,PayPal
487,463,73,3218.29,Online,Credit Card
488,46,156,2700.79,Online,Cash
489,82,188,113.79,In-store,PayPal
490,402,25,922.64,Online,Bank Transfer
491,250,55,4293.25,In-store,Cash
492,7,147,1282.39,Mobile app,PayPal
493,338,309,1260.52,In-store,PayPal
494,166,189,4290.61,Mobile app,Cash
495,94,60,2527.79,Mobile app,Cash
496,141,221,1228.34,In-store,Credit Card
497,281,291,3060.78,Online,Cash
498,292,151,432.76,Online,Bank Transfer
499,453,70,2534.51,In-store,Cash
500,351,276,1771.5,Online,Credit Card
501,379,101,3905.67,In-store,Cash
502,289,92,5542.33,Online,Cash
503,3,320,2597.3,In-store,PayPal
504,295,180,1651.62,Mobile app,Cash
505,426,35,720.46,Online,PayPal
506,149,288,5032.66,Online,Credit Card
507,66,269,3598.71,Mobile app,Bank Transfer
508,464,124,2267.86,Online,PayPal
509,358,336,887.4,Online,PayPal
510,498,335,1743.83,In-store,Credit Card
511,290,223,4787.71,Mobile app,Cash
512,145,232,1093.84,Mobile app,PayPal
513,138,61,987.3,Online,Bank Transfer
514,214,339,948.64,Mobile app,Credit Card
515,290,215,3702.41,Online,Cash
516,145,288,1193.02,Online,PayPal
517,323,17,1644.75,In-store,Cash
518,402,153,1359.0,Online,PayPal
519,461,127,2294.09,Online,Cash
520,359,8,5520.64,Online,Credit Card
521,252,280,92.83,In-store,Credit Card
522,281,339,4079.54,In-store,Bank Transfer
523,334,267,467.88,In-store,Credit Card
524,203,179,2120.05,Online,Credit Card
525,424,178,3684.19,In-store,Bank Transfer
526,481,8,958.76,Mobile app,Bank Transfer
527,20,82,3090.46,Online,Credit Card
528,372,188,3375.92,Online,Credit Card
529,295,146,4497.33,Online,Cash
530,485,168,1261.65,Online,Cash
531,367,87,1188.75,In-store,Cash
532,236,114,1115.04,Online,Cash
533,106,97,362.26,In-store,PayPal
534,98,272,752.01,Online,Bank Transfer
535,58,92,1413.46,Mobile app,PayPal
536,408,189,2394.43,In-store,Bank Transfer
537,111,98,3169.37,Mobile app,Credit Card
538,343,61,1441.25,In-store,Cash
539,393,238,2962.7,In-store,Bank Transfer
540,32,112,3307.35,Online,Bank Transfer
541,459,321,2032.29,In-store,PayPal
542,377,201,3574.06,Online,Credit Card
543,420,315,1605.13,In-store,Credit Card
544,445,273,3815.23,Online,Bank Transfer
545,435,189,4542.03,In-store,PayPal
546,267,143,883.72,Mobile app,PayPal
547,182,4,1274.6,Online,PayPal
548,275,80,4126.58,In-store,Credit Card
549,165,256,2180.46,Online,Cash
550,355,200,1929.2,Online,PayPal
551,10,223,3820.58,Mobile app,Bank Transfer
552,181,56,2692.43,Mobile app,Cash
553,290,99,2533.26,In-store,PayPal
554,279,75,2870.79,Online,Cash
555,72,267,1662.76,In-store,Credit Card
556,12,158,2531.83,In-store,Credit Card
557,496,339,811.9,Online,Bank Transfer
558,107,328,2647.62,In-store,PayPal
559,487,357,893.58,In-store,Bank Transfer
560,485,128,919.64,In-store,Credit Card
561,156,267,6333.66,Online,Cash
562,418,214,1731.72,Mobile app,Cash
563,281,159,2511.89,In-store,Credit Card
564,162,138,446.45,Online,Cash
565,169,187,2552.79,Mobile app,Cash
566,315,144,342.48,In-store,Bank Transfer
567,111,24,791.39,Online,Credit Card
568,182,348,3975.31,Online,Bank Transfer
569,69,321,3401.03,Mobile app,PayPal
570,311,250,4011.29,Online,Bank Transfer
571,187,94,847.15,In-store,PayPal
572,108,364,452.24,Mobile app,Bank Transfer
573,314,268,396.25,Online,PayPal
574,304,365,248.4,Online,Bank Transfer
575,285,190,2775.9,In-store,Cash
576,415,181,752.22,In-store,Cash
577,221,95,3841.31,Online,Cash
578,165,48,4687.54,Mobile app,Cash
579,207,247,1000.21,In-store,Cash
580,77,210,531.99,In-store,Cash
581,347,309,328.16,Online,PayPal
582,237,150,3388.81,Mobile app,Bank Transfer
583,496,247,2362.04,In-store,Credit Card
584,318,146,3243.96,In-store,Credit Card
585,356,242,562.56,In-store,Credit Card
586,74,261,2243.77,Online,PayPal
587,340,73,582.51,In-store,Credit Card
588,387,119,4317.72,Mobile app,Bank Transfer
589,331,277,3846.27,In-store,Cash
590,116,37,1295.57,Mobile app,PayPal
591,404,91,3169.12,Mobile app,PayPal
592,328,225,3438.82,Mobile app,Bank Transfer
593,411,68,2928.75,Online,PayPal
594,348,191,1562.88,In-store,Bank Transfer
595,187,202,2726.39,Mobile app,PayPal
596,324,134,4337.75,Online,Bank Transfer
597,252,157,782.06,Mobile app,PayPal
598,447,34,568.82,Online,Bank Transfer
599,18,318,1898.55,Mobile app,Cash
600,285,42,1793.8,Mobile app,Cash
601,224,348,2932.73,Online,Bank Transfer
602,425,207,68.84,Mobile app,Cash
603,383,75,1425.18,Mobile app,Bank Transfer
604,149,2,2625.59,Mobile app,Credit Card
605,304,150,4611.54,Mobile app,Bank Transfer
606,368,132,644.54,Online,Bank Transfer
607,130,166,1063.29,Mobile app,Bank Transfer
608,414,295,3498.88,Mobile app,PayPal
609,424,48,935.5,In-store,Bank Transfer
610,482,189,454.53,Mobile app,PayPal
611,469,277,806.51,In-store,Cash
612,137,296,3582.08,In-store,PayPal
613,298,331,231.61,Mobile app,Credit Card
614,161,164,2080.74,Mobile app,PayPal
615,22,7,328.16,Online,Bank Transfer
616,140,124,1530.31,Online,Cash
617,308,155,2112.21,Mobile app,Credit Card
618,32,107,1233.1,In-store,Cash
619,109,83,3269.8,Mobile app,PayPal
620,393,237,2879.79,Mobile app,PayPal
621,280,139,829.07,In-store,PayPal
622,228,221,1486.72,Mobile app,Credit Card
623,107,147,2840.51,Online,PayPal
624,354,265,3639.09,Mobile app,Bank Transfer
625,304,133,1485.75,In-store,Cash
626,186,236,2382.25,In-store,Bank Transfer
627,230,71,1660.34,In-store,Bank Transfer
628,296,342,2974.92,Online,Cash
629,204,281,3214.38,Mobile app,PayPal
630,244,17,2422.89,Mobile app,Bank Transfer
631,358,287,1126.69,In-store,PayPal
632,389,210,3625.99,Mobile app,Bank Transfer
633,167,179,1835.39,In-store,Credit Card
634,377,211,3991.02,In-store,PayPal
635,68,170,259.35,Mobile app,Bank Transfer
636,338,252,1884.66,Mobile app,PayPal
637,11,364,4058.32,Mobile app,Credit Card
638,464,319,872.05,Mobile app,Cash
639,111,142,1234.36,Online,Bank Transfer
640,283,85,8367.12,In-store,Credit Card
641,432,183,1646.28,Mobile app,Cash
642,38,132,1438.07,In-store,PayPal
643,36,175,1680.84,In-store,PayPal
644,2,120,70.46,Online,Credit Card
645,264,233,886.34,Online,Cash
646,89,51,2331.36,Mobile app,Cash
647,108,161,2894.98,Mobile app,Bank Transfer
648,370,241,3204.92,Mobile app,Credit Card
649,44,113,4241.94,Online,Bank Transfer
650,5,84,2282.63,Online,Bank Transfer
651,62,26,4552.28,In-store,Bank Transfer
652,102,216,3610.69,Mobile app,Cash
653,279,266,922.62,Online,PayPal
654,207,200,932.73,Mobile app,Bank Transfer
655,243,284,1728.79,Mobile app,Cash
656,336,59,1173.74,Mobile app,PayPal
657,108,75,805.16,Online,Cash
658,474,110,3705.58,In-store,PayPal
659,329,54,1464.33,Mobile app,Bank Transfer
660,436,169,4296.35,Online,PayPal
661,51,272,571.57,Online,Bank Transfer
662,300,257,4713.82,Online,Credit Card
663,134,285,640.9,Mobile app,Credit Card
664,243,66,628.47,In-store,Bank Transfer
665,272,126,865.68,Online,Bank Transfer
666,111,261,1500.92,Mobile app,PayPal
667,217,47,4178.16,Online,Bank Transfer
668,60,311,1105.74,In-store,Credit Card
669,35,176,642.34,In-store,Bank Transfer
