product_sku,product_name,category,brand,price
113,Major She,Shoes,Adidas,239.25
114,Speech Turn,Accessories,Adidas,319.05
115,Fact Those,Accessories,Adidas,69.97
116,Campaign Lead,Accessories,Nike,455.26
117,Heavy Father,Beauty,H&M,274.42
118,Card Lay,Beauty,Apple,371.74
119,Result Eat,Accessories,Apple,498.78
120,Friend Learn,Clothing,Adidas,58.5
121,After Beyond,Shoes,Zara,129.66
122,Newspaper Receive,Clothing,Apple,219.47
123,Peace Piece,Electronics,Apple,22.58
124,Arrive Be,Clothing,H&M,84.42
125,Six Ground,Electronics,Apple,160.89
126,Find Plan,Electronics,Adidas,404.51
127,Shoulder Include,Shoes,Apple,369.74
128,Leader Computer,Clothing,Apple,70.3
129,Management Boy,Clothing,Zara,308.63
130,Fall Remain,Shoes,Samsung,450.47
131,Order Play,Accessories,Nike,219.89
132,Also Fall,Electronics,Adidas,404.61
133,Indicate Town,Accessories,Apple,390.72
134,Break Share,Beauty,Adidas,414.98
135,Still Head,Shoes,Samsung,332.87
136,Foot Report,Electronics,Nike,129.27
137,Perhaps Almost,Clothing,H&M,335.38
138,Teach Bag,Beauty,Nike,276.86
139,Fact Trade,Electronics,Adidas,189.12
140,Project Sign,Beauty,Nike,292.67
141,Community Mouth,Clothing,Samsung,450.31
142,Spring Job,Clothing,Nike,17.07
143,Staff Three,Accessories,Zara,461.32
144,Decision Technology,Clothing,Adidas,315.13
145,Discussion Country,Shoes,Zara,231.55
146,Scientist However,Clothing,Samsung,281.12
147,Election Him,Beauty,Apple,123.06
148,Bed Foreign,Electronics,Nike,151.61
149,Top Apply,Beauty,Nike,297.15
150,Available Recently,Electronics,Zara,40.66
151,Maybe Fear,Electronics,Adidas,315.01
152,Phone Happen,Clothing,H&M,420.78
153,Matter Popular,Electronics,Nike,165.18
154,They Face,Shoes,H&M,286.81
155,Who Amount,Shoes,Samsung,192.9
156,Machine Fine,Electronics,Zara,314.0
157,Whose Our,Clothing,Adidas,474.32
158,In Music,Electronics,H&M,441.43
159,Great Light,Beauty,H&M,96.62
160,Draw Body,Beauty,Adidas,333.55
161,Care Magazine,Beauty,H&M,458.01
162,Much Prevent,Shoes,H&M,214.38
163,Concern Woman,Accessories,Apple,102.01
164,Never How,Electronics,Samsung,148.48
165,Significant Member,Accessories,Adidas,66.21
166,Television Thousand,Electronics,Samsung,316.48
167,Account Program,Electronics,Nike,343.23
168,Form Clear,Clothing,Samsung,86.93
169,They Single,Shoes,Apple,77.8
170,Ability Their,Clothing,H&M,346.88
171,Man Memory,Beauty,Nike,187.52
172,Much Score,Shoes,Samsung,448.45
173,Cold Wear,Shoes,Apple,221.56
174,Dog However,Accessories,Adidas,14.14
175,Five Understand,Clothing,Apple,198.14
176,Poor Bar,Clothing,H&M,251.22
177,Contain Development,Shoes,Apple,239.69
178,Arrive Music,Electronics,Adidas,453.04
179,Space Knowledge,Electronics,Adidas,317.93
180,Letter Central,Clothing,H&M,69.67
181,Paper Board,Electronics,Nike,251.69
182,Population Well,Accessories,Apple,368.53
183,Know Government,Clothing,H&M,371.68
184,Without Over,Shoes,Samsung,30.31
185,This Everyone,Shoes,H&M,227.69
186,Trip Pull,Accessories,H&M,77.5
187,Kitchen Behind,Shoes,Nike,473.97
188,Majority Maintain,Shoes,Nike,209.75
189,Find Action,Electronics,H&M,476.12
190,Natural Claim,Beauty,Samsung,394.08
191,Picture Main,Clothing,Samsung,65.28
192,Bad Enter,Accessories,Samsung,155.96
193,Mission New,Clothing,Adidas,426.3
194,End Between,Clothing,Samsung,348.08
195,Apply Kind,Beauty,Adidas,156.74
196,Girl Sing,Accessories,Apple,23.46
197,Movie Character,Clothing,Nike,171.59
198,Share Kid,Beauty,H&M,291.8
199,Kid Their,Clothing,Samsung,107.22
200,Born List,Electronics,Nike,208.42
